Growth,Log_size,Species,Patch_type,Landscape
8.119696253,6.207331689,Rhizophora mucronata,Northern,54N
9.636522722,5.847882819,Sonneratia alba,Western,54N
7.246011637,5.071259916,Rhizophora mucronata,Western,54N
5.486869473,6.735186014,Sonneratia alba,Southern,54N
10.77995579,6.29156914,Rhizophora mucronata,Northern,54N
11.21008914,7.965545573,Rhizophora mucronata,Northern,54N
8.861633598,4.069026754,Sonneratia alba,Northern,54N
10.77995579,6.476972363,Sonneratia alba,Northern,54N
10.72432409,6.358708442,Rhizophora mucronata,Southern,54N
7.544332108,5.97126184,Sonneratia alba,Northern,54N
6.802394763,2.890371758,Sonneratia alba,Southern,54N
10.82077778,7.033506484,Sonneratia alba,Northern,54N
5.703782475,5.598421959,Rhizophora mucronata,Northern,54N
10.86696717,6.908754779,Sonneratia alba,Northern,54N
11.74346559,7.104965448,Rhizophora mucronata,Southern,54N
10.71929475,8.076359939,Rhizophora mucronata,Southern,54N
7.491087594,5.533883438,Sonneratia alba,Northern,54N
8.590815331,7.138867,Rhizophora mucronata,Southern,54N
10.28619567,5.898526551,Sonneratia alba,Southern,54N
9.015784278,6.148468296,Sonneratia alba,Southern,54N
10.22306792,3.295836866,Sonneratia alba,Western,54N
10.59754682,7.197809536,Sonneratia alba,Western,54N
9.844162086,1.727220948,Sonneratia alba,Western,54N
8.968778235,6.327936784,Rhizophora mucronata,Central,54N
10.18949322,6.587550015,Rhizophora mucronata,Central,54N
7.549609165,5.43590303,Rhizophora mucronata,Central,54N
11.64736894,6.797940413,Sonneratia alba,Northern,54N
9.531988994,7.033506484,Rhizophora mucronata,Northern,54N
8.850087607,6.739336627,Rhizophora mucronata,Northern,54N
10.90705629,6.599870499,Sonneratia alba,Northern,54N
9.876630098,6.386879319,Sonneratia alba,Northern,54N
8.422882512,6.684611728,Rhizophora mucronata,Northern,54N
7.649692624,6.572282543,Rhizophora mucronata,Northern,54N
8.029107055,5.049856007,Rhizophora mucronata,Northern,54N
7.908387159,6.207331689,Rhizophora mucronata,Northern,54N
12.43384547,7.899153483,Sonneratia alba,Northern,54N
5.723585102,4.382026635,Sonneratia alba,Northern,54N
7.491087594,4.787491743,Rhizophora mucronata,Northern,54N
7.160845907,6.579251212,Avicennia marina,Northern,54S
5.570251082,6.258624984,Sonneratia alba,Northern,54S
9.875088078,5.533883438,Avicennia marina,Northern,54S
3.80666249,2.351375257,Rhizophora mucronata,Northern,54S
6.98471632,4.17438727,Rhizophora mucronata,Northern,54S
9.946259644,5.247024072,Sonneratia alba,Northern,54S
8.812843434,6.97634807,Rhizophora mucronata,Northern,54S
8.361007108,6.620073207,Rhizophora mucronata,Northern,54S
7.129297549,5.123963979,Avicennia marina,Northern,54S
10.15580148,6.340359304,Avicennia marina,Northern,54S
9.382611593,6.345636361,Avicennia marina,Northern,54S
9.295600216,6.572282543,Avicennia marina,Northern,54S
9.950490406,5.906723319,Avicennia marina,Northern,54S
6.186208624,5.780743516,Rhizophora mucronata,Central,54S
6.358708442,3.17805383,Avicennia marina,Central,54S
6.12249281,3.583518938,Sonneratia alba,Southern,54S
8.935903526,4.818263401,Sonneratia alba,Southern,54S
8.145694633,5.570251082,Avicennia marina,Central,54S
6.234410726,8.180320875,Sonneratia alba,Eastern,54S
10.96869816,7.327123292,Avicennia marina,Eastern,54S
